Word1,Word2,Human_Score,Model_Score
admission,ticket,5.536,0.1421436
alcohol,chemistry,4.125,0.33219993
aluminum,metal,6.625,0.39743933
announcement,effort,2.0625,0.19678076
announcement,news,7.1875,0.34713966
announcement,production,1.6875,0.1258222
announcement,warning,4.625,0.17830104
architecture,century,1.929,0.1902678
arrival,hotel,2.1875,0.25539443
atmosphere,landscape,3.5625,0.26315966
attempt,peace,0.9375,0.2551232
baby,mother,5.25,0.44151902
bank,money,6.625,0.2279806
baseball,season,3.2565,0.33171976
bed,closet,2.25,0.43278885
bird,cock,5.875,0.13797538
bird,crane,4.8125,0.12417632
bishop,rabbi,5.375,0.2998025
board,recommendation,1.25,0.4190236
book,library,5.3125,0.19636959
book,paper,5.875,0.2682421
boy,lad,7.844,0.41800147
bread,butter,4.1875,0.5475444
brother,monk,4.25,0.22151966
calculation,computation,8.0565,0.0048521333
canyon,landscape,5.25,0.097973414
car,automobile,9.369,0.18563564
car,flight,2.4375,0.14032495
cell,phone,6.25,0.14977007
century,nation,2.1875,0.34435073
century,year,4.0,0.2999747
championship,tournament,7.5,0.22912994
change,attitude,3.375,0.18057638
chord,smile,0.8125,0.27529204
closet,clothes,4.625,0.4291128
coast,forest,2.125,0.17999741
coast,hill,2.3125,0.45077536
coast,shore,8.2755,0.3610806
company,stock,3.75,0.37433106
competition,price,3.0,0.28342295
computer,laboratory,3.375,0.16872877
computer,news,1.6875,0.07560663
consumer,confidence,1.6875,0.077068105
consumer,energy,2.75,0.16445506
country,citizen,4.3125,0.33907095
credit,card,4.5625,0.11609939
credit,information,3.644,0.2147116
cup,article,1.3125,0.16321176
cup,coffee,5.0625,0.55794513
cup,drink,4.75,0.46711758
cup,entity,1.375,0.11859553
cup,food,1.875,0.18916261
cup,liquid,3.75,0.19034357
cup,object,4.25,0.11365287
cup,substance,1.9375,0.088368244
currency,market,4.3125,0.26803142
day,dawn,4.625,0.22955815
day,summer,3.125,0.42699805
death,row,1.6875,0.102532655
delay,news,1.4375,0.15432392
development,issue,3.3125,0.18928471
direction,combination,2.0625,0.14605892
disability,death,2.3125,0.20721409
disaster,area,1.625,0.1074791
discovery,space,3.9375,-0.04851506
dividend,calculation,5.1875,0.06656247
dividend,payment,5.5,0.42315075
doctor,liability,2.5,0.057158336
doctor,nurse,6.125,0.36636654
doctor,personnel,3.5625,0.13996087
dollar,buck,8.5625,0.18842599
dollar,loss,2.1875,0.148528
dollar,profit,5.375,0.14637683
drink,car,0.3125,0.3826657
drink,ear,0.375,0.41916823
drink,eat,4.125,0.26479933
drink,mother,0.5625,0.29649356
drink,mouth,4.7375,0.40169662
drug,abuse,4.9375,0.15507738
energy,crisis,3.0505,0.06956752
energy,laboratory,2.7565,0.23507452
energy,secretary,1.0625,0.027544785
equipment,maker,2.5625,0.27451053
experience,music,2.3125,0.19382568
family,planning,1.75,0.07629712
fertility,egg,5.1875,0.037500214
five,month,1.069,0.14953935
focus,life,2.3125,0.1607713
food,fruit,7.0625,0.16903646
food,preparation,3.75,0.111966126
football,basketball,4.125,0.333147
football,tennis,3.6875,0.34293061
forest,graveyard,1.394,0.2162058
furnace,stove,8.0625,0.2373559
game,defeat,3.6875,0.16807808
game,round,5.1875,0.21938443
game,series,4.5625,0.30575687
game,team,4.625,0.40568048
game,victory,4.6875,0.3399279
glass,metal,2.1875,0.52883977
government,crisis,3.625,0.18291156
governor,interview,1.625,0.15110916
governor,office,4.3125,0.32397962
grocery,money,3.375,0.13207309
holy,sex,1.069,0.09997272
hotel,reservation,5.0625,0.36279953
hundred,percent,4.4375,0.29441106
image,surface,1.8125,0.2175751
investigation,effort,3.75,0.14336774
jaguar,car,5.3125,0.29735157
jaguar,cat,6.4375,0.41414824
journal,association,2.625,0.22638157
journey,car,4.0625,0.13512324
journey,voyage,7.5,0.51452124
king,queen,5.6875,0.3264939
lad,brother,4.9375,0.20528595
law,lawyer,6.1875,0.30626583
lawyer,evidence,3.9375,0.01455772
liability,insurance,4.375,0.2997367
life,death,4.375,0.27376887
