Word1,Word2,Human_Score,Model_Score
admission,ticket,5.536,0.11766772
alcohol,chemistry,4.125,0.29959887
aluminum,metal,6.625,0.35018533
announcement,effort,2.0625,0.03010396
announcement,news,7.1875,0.28693947
announcement,production,1.6875,0.14405316
announcement,warning,4.625,0.14010337
architecture,century,1.929,0.24286212
arrival,hotel,2.1875,0.2043058
atmosphere,landscape,3.5625,0.2074043
attempt,peace,0.9375,0.15619662
baby,mother,5.25,0.40630588
bank,money,6.625,0.17376126
baseball,season,3.2565,0.3640537
bed,closet,2.25,0.35403147
bird,cock,5.875,0.28054413
bird,crane,4.8125,0.20012079
bishop,rabbi,5.375,0.15634398
board,recommendation,1.25,0.41253063
book,library,5.3125,0.2306786
book,paper,5.875,0.24166413
boy,lad,7.844,0.27926135
bread,butter,4.1875,0.44190833
brother,monk,4.25,0.13892138
calculation,computation,8.0565,0.16420063
canyon,landscape,5.25,0.31032097
car,automobile,9.369,0.23725551
car,flight,2.4375,0.1738409
cell,phone,6.25,0.14749302
century,nation,2.1875,0.3017086
century,year,4.0,0.24805145
championship,tournament,7.5,0.30698842
change,attitude,3.375,0.24407393
chord,smile,0.8125,0.20724675
closet,clothes,4.625,0.3240849
coast,forest,2.125,0.19497313
coast,hill,2.3125,0.35741457
coast,shore,8.2755,0.3340777
company,stock,3.75,0.25624758
competition,price,3.0,0.26694453
computer,laboratory,3.375,0.12861776
computer,news,1.6875,0.087295316
consumer,confidence,1.6875,0.11851217
consumer,energy,2.75,0.21933801
country,citizen,4.3125,0.14758018
credit,card,4.5625,0.20499627
credit,information,3.644,0.3560162
cup,article,1.3125,0.149829
cup,coffee,5.0625,0.52661246
cup,drink,4.75,0.28349513
cup,entity,1.375,0.0546011
cup,food,1.875,0.14556743
cup,liquid,3.75,0.16621432
cup,object,4.25,0.05592318
cup,substance,1.9375,0.13065767
currency,market,4.3125,0.36436978
day,dawn,4.625,0.19642572
day,summer,3.125,0.33336848
death,row,1.6875,0.07661511
delay,news,1.4375,0.154233
development,issue,3.3125,0.17469664
direction,combination,2.0625,0.054155126
disability,death,2.3125,0.12690043
disaster,area,1.625,0.078016646
discovery,space,3.9375,-0.034766514
dividend,calculation,5.1875,0.13435622
dividend,payment,5.5,0.42416432
doctor,liability,2.5,-0.07745075
doctor,nurse,6.125,0.24532643
doctor,personnel,3.5625,0.13682231
dollar,buck,8.5625,0.20826046
dollar,loss,2.1875,-0.009564786
dollar,profit,5.375,0.18132888
drink,car,0.3125,0.09845609
drink,ear,0.375,0.39330167
drink,eat,4.125,0.23807234
drink,mother,0.5625,0.06996609
drink,mouth,4.7375,0.2720461
drug,abuse,4.9375,0.08089452
energy,crisis,3.0505,0.09895578
energy,laboratory,2.7565,0.15682137
energy,secretary,1.0625,0.11707201
equipment,maker,2.5625,0.35664546
experience,music,2.3125,0.33794206
family,planning,1.75,0.16476049
fertility,egg,5.1875,0.1612975
five,month,1.069,0.1920568
focus,life,2.3125,0.009719179
food,fruit,7.0625,0.23122075
food,preparation,3.75,0.16166343
football,basketball,4.125,0.48949233
football,tennis,3.6875,0.48449242
forest,graveyard,1.394,0.11559579
furnace,stove,8.0625,0.30291605
game,defeat,3.6875,0.2781014
game,round,5.1875,0.23477583
game,series,4.5625,0.30402845
game,team,4.625,0.35461578
game,victory,4.6875,0.37124702
glass,metal,2.1875,0.42620453
government,crisis,3.625,0.13187073
governor,interview,1.625,0.19423059
governor,office,4.3125,0.18777129
grocery,money,3.375,0.14406347
holy,sex,1.069,0.15213335
hotel,reservation,5.0625,0.14876726
hundred,percent,4.4375,0.15577267
image,surface,1.8125,0.23474328
investigation,effort,3.75,0.047227558
jaguar,car,5.3125,0.4214593
jaguar,cat,6.4375,0.2953154
journal,association,2.625,0.28399438
journey,car,4.0625,0.13348192
journey,voyage,7.5,0.3453796
king,queen,5.6875,0.24149594
lad,brother,4.9375,0.16624895
law,lawyer,6.1875,0.29699388
lawyer,evidence,3.9375,0.12127326
liability,insurance,4.375,0.41115934
life,death,4.375,0.37902027
life,lesson,3.1875,0.17936656
life,term,3.8125,0.11305499
line,insurance,1.3125,0.02523297
liquid,water,7.0625,0.37695417
listing,category,5.375,0.0719158
listing,proximity,1.4375,0.22200495
love,sex,6.375,0.26955742
lover,quarrel,1.6875,0.037978575
luxury,car,3.3125,0.13620828
man,governor,4.25,0.16387942
man,woman,4.5,0.5018311
media,gain,1.375,0.069239184
media,radio,6.4375,0.19973613
media,trading,1.8125,0.09219924
midday,noon,8.9375,0.16027416
mile,kilometer,6.9375,0.18723501
minister,party,3.0625,0.11673537
ministry,culture,2.844,0.13890892
minority,peace,1.1875,0.043212105
money,bank,6.0,0.17376126
money,cash,8.875,0.24378528
money,cash,9.0315,0.24378528
money,currency,7.9375,0.16446415
money,deposit,5.375,0.14332242
money,dollar,7.6875,0.34254858
money,laundering,4.4565,-0.036288418
money,operation,1.875,0.13887821
money,possession,4.3125,0.09114807
money,property,5.0625,0.3176584
money,wealth,7.0625,0.059303775
money,withdrawal,4.0625,0.13879238
monk,slave,2.5625,0.10086628
month,hotel,1.0625,0.18341379
morality,importance,2.5,0.1586083
morality,marriage,2.375,0.0942509
movie,critic,3.1875,0.14143866
movie,star,4.3125,0.34830853
movie,theater,6.125,0.4312688
museum,theater,3.875,0.37093168
music,project,3.1875,0.19099118
nature,environment,6.9375,0.34460035
nature,man,2.9375,0.16705807
network,hardware,3.8125,-0.10403742
news,report,6.8125,0.41581947
noon,string,0.6875,0.08434021
observation,architecture,1.875,0.10035429
oil,stock,2.9375,0.3067467
opera,industry,1.194,0.17862016
opera,performance,4.875,0.4139402
peace,atmosphere,2.1875,0.116572
peace,insurance,1.7565,0.046247944
peace,plan,1.5,0.2274321
phone,equipment,4.0315,-0.16352645
physics,chemistry,5.0625,0.33972168
plane,car,3.5625,0.16163543
planet,moon,6.0,0.23820098
planet,people,3.375,0.05973957
planet,space,5.3125,0.23926772
planet,star,5.625,0.062966816
planet,sun,5.8125,0.20270897
population,development,3.4755,0.2760879
possibility,girl,1.069,0.15630698
practice,institution,3.5625,0.10571152
precedent,collection,1.0625,0.0041602217
precedent,example,5.4375,0.2995699
precedent,group,1.5625,0.1996398
precedent,information,2.375,0.12359742
precedent,law,4.375,0.043081507
prejudice,recognition,3.3125,0.069164306
preservation,world,2.4375,0.1753983
president,medal,1.25,0.16859438
problem,airport,1.3125,0.06547294
problem,challenge,6.875,0.24879782
production,crew,3.1875,0.046202566
professor,doctor,6.125,0.064436905
profit,loss,3.875,0.37436056
profit,warning,1.6875,0.042588025
psychology,anxiety,3.75,0.15647422
psychology,depression,5.25,0.11550905
psychology,discipline,3.3125,0.11887654
psychology,doctor,5.294,0.10042081
