Word1,Word2,Human_Score,Model_Score
admission,ticket,5.536,-0.14178976
alcohol,chemistry,4.125,0.0865398
aluminum,metal,6.625,0.2108413
announcement,effort,2.0625,0.19951226
announcement,news,7.1875,0.25587785
announcement,production,1.6875,0.0065422966
announcement,warning,4.625,0.060110483
architecture,century,1.929,-0.07796214
arrival,hotel,2.1875,0.095152035
atmosphere,landscape,3.5625,0.16562182
attempt,peace,0.9375,-0.00843601
baby,mother,5.25,0.034760706
bank,money,6.625,-0.019358212
baseball,season,3.2565,0.28394887
bed,closet,2.25,0.31847352
bird,cock,5.875,0.4515488
bird,crane,4.8125,0.14615282
bishop,rabbi,5.375,0.11037032
board,recommendation,1.25,0.31651175
book,library,5.3125,0.0711727
book,paper,5.875,0.21956794
boy,lad,7.844,0.04328315
bread,butter,4.1875,0.2313317
brother,monk,4.25,-0.056871556
calculation,computation,8.0565,-0.08818039
canyon,landscape,5.25,0.110947736
car,automobile,9.369,0.08762655
car,flight,2.4375,0.13564986
cell,phone,6.25,0.055608787
cemetery,woodland,2.3125,-0.15973333
century,nation,2.1875,0.19777842
century,year,4.0,0.11631901
championship,tournament,7.5,0.027150894
change,attitude,3.375,0.06494291
chord,smile,0.8125,-0.012478388
closet,clothes,4.625,0.1537776
coast,forest,2.125,-0.1425361
coast,hill,2.3125,0.39634213
coast,shore,8.2755,0.451723
company,stock,3.75,0.22876422
competition,price,3.0,0.085467845
computer,keyboard,5.9375,0.03599333
computer,laboratory,3.375,-0.08210755
computer,news,1.6875,0.012298413
concert,virtuoso,3.6875,-0.10092945
consumer,confidence,1.6875,0.18865684
consumer,energy,2.75,0.09616583
country,citizen,4.3125,0.20378216
crane,implement,2.125,-0.11593748
credit,card,4.5625,-0.08123506
credit,information,3.644,0.10461297
cup,article,1.3125,0.30827135
cup,coffee,5.0625,0.30851915
cup,drink,4.75,0.3424853
cup,entity,1.375,0.018181687
cup,food,1.875,0.21697795
cup,liquid,3.75,0.19828077
cup,object,4.25,0.021869808
cup,substance,1.9375,-0.025249207
currency,market,4.3125,0.2610765
day,dawn,4.625,0.05983535
day,summer,3.125,0.17811193
death,row,1.6875,0.17301477
delay,news,1.4375,-0.049950518
development,issue,3.3125,0.23642685
direction,combination,2.0625,0.12075965
